Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
04-JUN-2019,15.9675,15.9675,14.6675,15.6275,15.9675,-0.34,-2.13
06-JUN-2019,15.6275,15.925,13.975,15.525,15.6275,-0.10,-0.66
07-JUN-2019,15.525,15.73,13.6275,14.8575,15.525,-0.67,-4.30
10-JUN-2019,14.8575,15.4525,13.4475,14.975,14.8575,0.12,0.79
11-JUN-2019,14.975,14.975,13.48,14.49,14.975,-0.49,-3.24
12-JUN-2019,14.49,14.71,13.31,14.1225,14.49,-0.37,-2.54
13-JUN-2019,14.1225,14.2925,13.2775,13.66,14.1225,-0.46,-3.27
14-JUN-2019,13.66,14.1175,12.6425,13.895,13.66,0.24,1.72
17-JUN-2019,13.895,14.96,13.52,14.65,13.895,0.76,5.43
18-JUN-2019,14.65,14.97,11.7375,14.6,14.65,-0.05,-0.34
19-JUN-2019,14.6,15.3,10.79,14.73,14.6,0.13,0.89
20-JUN-2019,14.73,15.1875,12.835,14,14.73,-0.73,-4.96
21-JUN-2019,14,14.8325,10.6025,14.61,14,0.61,4.36
24-JUN-2019,14.61,15.665,11.855,15.2225,14.61,0.61,4.19
25-JUN-2019,15.2225,15.585,14.9275,15.01,15.2225,-0.21,-1.40
26-JUN-2019,15.01,15.195,14.39,14.75,15.01,-0.26,-1.73
27-JUN-2019,14.75,14.8875,13.6475,14.645,14.75,-0.11,-0.71
28-JUN-2019,14.645,15.0725,13.995,14.9525,14.645,0.31,2.10
01-JUL-2019,14.9525,15.02,14.4725,14.6025,14.9525,-0.35,-2.34
02-JUL-2019,14.6025,14.8325,14.025,14.25,14.6025,-0.35,-2.41
03-JUL-2019,14.25,14.32,13.52,13.695,14.25,-0.56,-3.89
04-JUL-2019,13.695,13.695,13.0125,13.53,13.695,-0.17,-1.20
05-JUL-2019,13.53,13.965,12.665,13.065,13.53,-0.47,-3.44
08-JUL-2019,13.065,14.0425,12.1075,13.8525,13.065,0.79,6.03
09-JUL-2019,13.8525,14.22,13.3525,13.6875,13.8525,-0.17,-1.19
10-JUL-2019,13.6875,13.9625,12.395,13.635,13.6875,-0.05,-0.38
11-JUL-2019,13.635,13.635,12.1775,12.47,13.635,-1.17,-8.54
12-JUL-2019,12.47,12.55,11.55,11.9975,12.47,-0.47,-3.79
15-JUL-2019,11.9975,12.5175,10.6425,12.02,11.9975,0.02,0.19
16-JUL-2019,12.02,12.02,11.0625,11.56,12.02,-0.46,-3.83
17-JUL-2019,11.56,11.91,9.1625,11.8,11.56,0.24,2.08
18-JUL-2019,11.8,11.9825,9.2225,11.75,11.8,-0.05,-0.42
19-JUL-2019,11.75,12.675,10.5925,12.515,11.75,0.77,6.51
22-JUL-2019,12.515,13.4025,11.5625,13.01,12.515,0.50,3.96
23-JUL-2019,13.01,13.78,11.59,13.4275,13.01,0.42,3.21
24-JUL-2019,13.4275,14.4825,11.85,12.76,13.4275,-0.67,-4.97
25-JUL-2019,12.76,13.55,11.9975,12.635,12.76,-0.13,-0.98
26-JUL-2019,12.635,13.31,11.9225,12.1325,12.635,-0.50,-3.98
29-JUL-2019,12.1325,13.5325,12.0375,13.0625,12.1325,0.93,7.67
30-JUL-2019,13.0625,13.8675,12.5,13.6125,13.0625,0.55,4.21
31-JUL-2019,13.6125,14.545,13.415,13.59,13.6125,-0.02,-0.17
01-AUG-2019,13.59,15.28,13.2725,14.5575,13.59,0.97,7.12
02-AUG-2019,14.5575,16.1575,14.435,15.1875,14.5575,0.63,4.33
05-AUG-2019,15.1875,17.82,15.1875,16.585,15.1875,1.40,9.20
06-AUG-2019,16.585,16.785,15.5925,16.12,16.585,-0.47,-2.80
07-AUG-2019,16.12,16.9125,15.7375,16.74,16.12,0.62,3.85
08-AUG-2019,16.74,16.74,15.515,16.0925,16.74,-0.65,-3.87
09-AUG-2019,16.0925,16.1625,15.0275,15.845,16.0925,-0.25,-1.54
13-AUG-2019,15.845,18.005,15.1175,17.7775,15.845,1.93,12.20
14-AUG-2019,17.7775,17.7775,16.11,16.3575,17.7775,-1.42,-7.99
16-AUG-2019,16.3575,17.4275,15.9925,16.6475,16.3575,0.29,1.77
19-AUG-2019,16.6475,17.025,14.71,16.7475,16.6475,0.10,0.60
20-AUG-2019,16.7475,17.095,15.105,16.6325,16.7475,-0.12,-0.69
21-AUG-2019,16.6325,17.3275,14,17.0225,16.6325,0.39,2.34
22-AUG-2019,17.0225,18.1225,14.4925,17.8525,17.0225,0.83,4.88
23-AUG-2019,17.8525,18.2625,13.7025,17.3475,17.8525,-0.51,-2.83
26-AUG-2019,17.3475,19.145,13.7,16.655,17.3475,-0.69,-3.99
27-AUG-2019,16.655,16.8325,14.42,16.01,16.655,-0.65,-3.87
28-AUG-2019,16.01,17.375,14.12,16.835,16.01,0.83,5.15
29-AUG-2019,16.835,17.445,13.8725,16.425,16.835,-0.41,-2.44
30-AUG-2019,16.425,17.375,15.19,16.2825,16.425,-0.14,-0.87
03-SEP-2019,16.2825,18.27,16.2825,18.055,16.2825,1.77,10.89
04-SEP-2019,18.055,18.31,17.1275,17.235,18.055,-0.82,-4.54
05-SEP-2019,17.235,17.7025,16.0575,17.2725,17.235,0.04,0.22
06-SEP-2019,17.2725,17.2725,15.885,16.275,17.2725,-1.00,-5.78
09-SEP-2019,16.275,16.6425,13.665,15.8525,16.275,-0.42,-2.60
11-SEP-2019,15.8525,15.8525,14.6475,15.3725,15.8525,-0.48,-3.03
12-SEP-2019,15.3725,15.3725,14.6075,14.9,15.3725,-0.47,-3.07
13-SEP-2019,14.9,15.195,13.8875,14.12,14.9,-0.78,-5.23
16-SEP-2019,14.12,15.3075,14.1175,14.9525,14.12,0.83,5.90
17-SEP-2019,14.9525,16.3075,13.2775,16.0175,14.9525,1.07,7.12
18-SEP-2019,16.0175,16.1875,13.905,15.3525,16.0175,-0.67,-4.15
19-SEP-2019,15.3525,15.965,14.1775,15.55,15.3525,0.20,1.29
20-SEP-2019,15.55,17.045,13.8275,15.4,15.55,-0.15,-0.96
23-SEP-2019,15.4,17.64,14.21,16.7925,15.4,1.39,9.04
24-SEP-2019,16.7925,18.5325,15.8975,16.7325,16.7925,-0.06,-0.36
25-SEP-2019,16.7325,17.415,14.1025,16.17,16.7325,-0.56,-3.36
26-SEP-2019,16.17,17.01,13.64,16.3425,16.17,0.17,1.07
27-SEP-2019,16.3425,16.8175,15.9275,16.115,16.3425,-0.23,-1.39
30-SEP-2019,16.115,16.51,15.8,15.8725,16.115,-0.24,-1.50
01-OCT-2019,15.8725,18.2175,14.9475,16.7575,15.8725,0.89,5.58
03-OCT-2019,16.7575,18.045,16.4175,17.7025,16.7575,0.95,5.64
04-OCT-2019,17.7025,17.945,16.3475,17.58,17.7025,-0.12,-0.69
07-OCT-2019,17.58,18.4275,16.9925,17.83,17.58,0.25,1.42
09-OCT-2019,17.83,18.3275,16.335,17.155,17.83,-0.68,-3.79
10-OCT-2019,17.155,17.54,15.7275,17.2275,17.155,0.07,0.42
11-OCT-2019,17.2275,18.28,15.7775,17.14,17.2275,-0.09,-0.51
14-OCT-2019,17.14,17.9625,17.0625,17.43,17.14,0.29,1.69
15-OCT-2019,17.43,17.43,16.6925,16.85,17.43,-0.58,-3.33
16-OCT-2019,16.85,16.9525,15.495,16.36,16.85,-0.49,-2.91
17-OCT-2019,16.36,16.36,15.5175,15.8775,16.36,-0.48,-2.95
18-OCT-2019,15.8775,16.1525,14.99,15.9275,15.8775,0.05,0.31
22-OCT-2019,15.9275,17.1225,13.5725,16.81,15.9275,0.88,5.54
23-OCT-2019,16.81,16.85,14.83,16.535,16.81,-0.28,-1.64
24-OCT-2019,16.535,16.78,14.7125,16.24,16.535,-0.30,-1.78
25-OCT-2019,16.24,16.24,15.195,15.315,16.24,-0.93,-5.70
27-OCT-2019,16.24,16.24,13.9825,15.585,16.24,-0.66,-4.03
29-OCT-2019,15.585,16.5475,15.4975,16.42,15.585,0.84,5.36
30-OCT-2019,16.42,16.845,16.2525,16.6575,16.42,0.24,1.45
31-OCT-2019,16.6575,16.795,15.5025,16.28,16.6575,-0.38,-2.27
01-NOV-2019,16.28,16.4725,15.1675,15.7325,16.28,-0.55,-3.36
04-NOV-2019,15.7325,16.365,13.495,15.925,15.7325,0.19,1.22
05-NOV-2019,15.925,16.34,13.5075,15.9175,15.925,-0.01,-0.05
06-NOV-2019,15.9175,16.1525,13.3825,15.775,15.9175,-0.14,-0.90
07-NOV-2019,15.775,15.9225,13.525,15.2075,15.775,-0.57,-3.60
08-NOV-2019,15.2075,15.99,13.71,15.855,15.2075,0.65,4.26
11-NOV-2019,15.855,16.765,15.195,16.25,15.855,0.40,2.49
13-NOV-2019,16.25,16.67,14.4725,16.4625,16.25,0.21,1.31
14-NOV-2019,16.4625,16.4625,14.0925,15.65,16.4625,-0.81,-4.94
15-NOV-2019,15.65,15.65,12.5225,15.03,15.65,-0.62,-3.96
18-NOV-2019,15.03,16.065,12.665,15.755,15.03,0.73,4.82
19-NOV-2019,15.755,15.755,12.61,15.4125,15.755,-0.34,-2.17
20-NOV-2019,15.4125,15.4125,11.6075,15.16,15.4125,-0.25,-1.64
21-NOV-2019,15.16,15.595,12.61,14.975,15.16,-0.19,-1.22
22-NOV-2019,14.975,15.8775,12.2375,14.8725,14.975,-0.10,-0.68
25-NOV-2019,14.8725,15.2125,13,15.0025,14.8725,0.13,0.87
26-NOV-2019,15.0025,15.1275,13.1075,14.8375,15.0025,-0.17,-1.10
27-NOV-2019,14.8375,14.8375,12.3575,14.6175,14.8375,-0.22,-1.48
28-NOV-2019,14.6175,14.6175,12.8875,13.9875,14.6175,-0.63,-4.31
29-NOV-2019,13.9875,14.2925,13.14,13.8975,13.9875,-0.09,-0.64
02-DEC-2019,13.8975,15.845,13.4975,14.2025,13.8975,0.31,2.19
03-DEC-2019,14.2025,16.3425,12.07,14.5625,14.2025,0.36,2.53
04-DEC-2019,14.5625,15.8725,12.2625,13.3225,14.5625,-1.24,-8.52
05-DEC-2019,13.3225,15.12,12.8275,14.305,13.3225,0.98,7.37
06-DEC-2019,14.305,14.7225,11.4075,13.64,14.305,-0.67,-4.65
09-DEC-2019,13.64,15.3625,12.465,14.5975,13.64,0.96,7.02
10-DEC-2019,14.5975,15.6625,11.735,14.29,14.5975,-0.31,-2.11
11-DEC-2019,14.29,14.4475,11.71,13.3775,14.29,-0.91,-6.39
12-DEC-2019,13.3775,13.765,11.825,13.3475,13.3775,-0.03,-0.22
13-DEC-2019,13.3475,14.67,12.185,13.3,13.3475,-0.05,-0.36
16-DEC-2019,13.3,14.11,12.5,13.415,13.3,0.12,0.86
17-DEC-2019,13.415,13.425,11.955,12.5175,13.415,-0.90,-6.69
18-DEC-2019,12.5175,12.715,11.39,12.3375,12.5175,-0.18,-1.44
19-DEC-2019,12.3375,12.415,11.325,12.1225,12.3375,-0.22,-1.74
20-DEC-2019,12.1225,12.7325,11.9025,12.325,12.1225,0.20,1.67
23-DEC-2019,12.325,14.505,10.695,11.9575,12.325,-0.37,-2.98
24-DEC-2019,11.9575,13.31,10.8875,11.625,11.9575,-0.33,-2.78
26-DEC-2019,11.625,12.3475,10.8425,11.1225,11.625,-0.50,-4.32
27-DEC-2019,11.1225,11.4675,10.425,10.525,11.1225,-0.60,-5.37
30-DEC-2019,10.525,11.4525,9.6175,11.0075,10.525,0.48,4.58
31-DEC-2019,11.0075,11.7925,10.44,11.6675,11.0075,0.66,6.00
