Index Name,Date,Open,High,Low,Close,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales,vix
NIFTY 50,2018-08-23,11620.7,11620.7,11546.7,11582.75,6368.32,5935.11,433.21,4224.04,4082.04,142.0,12.76000023
NIFTY 50,2018-08-21,11576.2,11581.75,11539.6,11570.9,5205.31,4951.06,254.25,3742.89,3545.02,197.87,12.89999962
NIFTY 50,2018-08-20,11502.1,11565.3,11499.65,11551.75,4067.29,4550.33,-483.04,3598.42,3005.2,593.22,13.02999973
NIFTY 50,2018-08-17,11437.15,11486.45,11431.8,11470.75,4769.07,4621.76,147.31,3014.84,2862.95,151.89,13.15999985
NIFTY 50,2018-08-16,11397.15,11449.85,11366.25,11385.05,6331.51,7156.59,-825.08,3957.73,3823.95,133.78,13.64999962
NIFTY 50,2018-08-14,11381.7,11452.45,11370.8,11435.1,3867.36,4246.2,-378.84,3497.1,3105.63,391.47,13.27999973
NIFTY 50,2018-08-13,11369.6,11406.3,11340.3,11355.75,3417.54,4389.4,-971.86,3472.28,3255.99,216.29,13.39999962
NIFTY 50,2018-08-10,11474.95,11478.75,11419.65,11429.5,5411.76,5922.42,-510.66,3424.59,2966.76,457.83,12.85000038
NIFTY 50,2018-08-09,11493.25,11495.2,11454.1,11470.7,3874.77,3504.09,370.68,3938.97,4024.36,-85.39,12.68000031
NIFTY 50,2018-08-08,11412.5,11459.95,11379.3,11450.0,3973.77,3405.14,568.63,3013.15,2982.9,30.25,12.53999996
NIFTY 50,2018-08-07,11423.15,11428.95,11359.7,11389.45,3668.23,3353.4,314.83,2720.97,3040.87,-319.9,12.57999992
NIFTY 50,2018-08-06,11401.5,11427.65,11370.6,11387.1,4120.33,3871.63,248.7,3312.86,3094.22,218.64,12.56000042
NIFTY 50,2018-08-03,11297.8,11368.0,11294.55,11360.8,4737.3,4743.17,-5.87,3291.99,3204.91,87.08,12.07999992
NIFTY 50,2018-08-02,11328.9,11328.9,11234.95,11244.7,4264.91,4904.78,-639.87,2617.19,2957.49,-340.3,12.56000042
NIFTY 50,2018-08-01,11359.8,11390.55,11313.55,11346.2,4514.0,4609.94,-95.94,3603.37,4165.7,-562.33,12.52999973
NIFTY 50,2018-07-31,11311.05,11366.0,11267.75,11356.5,,,,,,,12.47999954
NIFTY 50,2018-07-30,11296.65,11328.1,11261.45,11319.55,4812.83,5046.87,-234.04,4320.87,4272.29,48.58,12.59000015
NIFTY 50,2018-07-27,11232.75,11283.4,11210.25,11278.35,4872.96,4134.91,738.05,3903.39,3497.27,406.12,12.31000042
NIFTY 50,2018-07-26,11132.95,11185.85,11125.7,11167.3,9455.99,7002.42,2453.57,4570.61,7286.65,-2716.04,12.02999973
NIFTY 50,2018-07-25,11148.4,11157.15,11113.25,11132.0,4087.48,5283.23,-1195.75,3366.56,3268.92,97.64,12.21000004
NIFTY 50,2018-07-24,11109.0,11143.4,11092.5,11134.3,5098.19,4993.85,104.34,4434.15,3920.37,513.78,12.47000027
NIFTY 50,2018-07-23,11019.85,11093.4,11010.95,11084.75,4410.52,4151.15,259.37,3559.53,3434.71,124.82,13.01000023
NIFTY 50,2018-07-20,10963.5,11030.25,10946.2,11010.2,4654.79,4344.52,310.27,2853.6,2904.33,-50.73,13.53999996
NIFTY 50,2018-07-19,10999.5,11006.5,10935.45,10957.1,3480.53,3796.22,-315.69,2950.25,2480.23,470.02,13.59000015
NIFTY 50,2018-07-18,11060.2,11076.2,10956.3,10980.45,4642.55,4546.87,95.68,3194.59,3083.58,111.01,13.68000031
NIFTY 50,2018-07-17,10939.65,11018.5,10925.6,11008.05,4113.54,4787.53,-673.99,3410.59,2570.53,840.06,12.82999992
NIFTY 50,2018-07-16,11018.95,11019.5,10926.25,10936.85,3821.19,4446.87,-625.68,3167.36,3237.66,-70.3,12.94999981
NIFTY 50,2018-07-13,11056.9,11071.35,10999.75,11018.9,4662.05,5766.7,-1104.65,4010.9,3138.9,872.0,12.30000019
NIFTY 50,2018-07-12,11006.95,11078.3,10999.65,11023.2,4057.47,4800.1,-742.63,3822.12,3455.72,366.4,12.51000023
NIFTY 50,2018-07-11,10956.4,10976.65,10923.0,10948.3,4962.89,4326.62,636.27,3728.65,3713.32,15.33,12.77999973
NIFTY 50,2018-07-10,10902.75,10956.9,10876.65,10947.25,5302.76,5323.49,-20.73,3496.61,3202.65,293.96,12.39999962
NIFTY 50,2018-07-09,10838.3,10860.35,10807.15,10852.9,4490.76,5060.67,-569.91,2847.67,2107.28,740.39,12.39000034
NIFTY 50,2018-07-06,10744.15,10816.35,10735.05,10772.65,4074.74,5042.92,-968.18,4003.43,2522.61,1480.82,12.43999958
NIFTY 50,2018-07-05,10786.05,10786.05,10726.25,10749.75,3870.59,4029.96,-159.37,3386.96,3683.93,-296.97,12.57999992
NIFTY 50,2018-07-04,10715.0,10777.15,10677.75,10769.9,3903.2,4187.78,-284.58,3036.89,2425.88,611.01,12.65999985
NIFTY 50,2018-07-03,10668.6,10713.3,10630.25,10699.9,2959.67,4002.98,-1043.31,2457.2,2178.36,278.84,13.0
NIFTY 50,2018-07-02,10732.35,10736.15,10604.65,10657.3,,,,,,,13.36999989
NIFTY 50,2018-06-29,10612.85,10723.05,10612.35,10714.3,,,,,,,12.93999958
NIFTY 50,2018-06-28,10660.8,10674.2,10557.7,10589.1,7373.58,8325.09,-951.51,6089.15,5646.51,442.64,13.94999981
