Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
17-05-2024,15820.61,14203.82,1616.79,11656.6,10100.35,1556.25
16-05-2024,16603.64,17380.13,-776.49,14907.72,12779.91,2127.81
15-05-2024,11412.04,14244.87,-2832.83,12915.36,9126.98,3788.38
14-05-2024,9988.34,14053.86,-4065.52,11455.11,7927.25,3527.86
13-05-2024,10309.45,14808.37,-4498.92,12655.75,9093,3562.75
10-05-2024,11603.33,13720.83,-2117.5,10677.79,7967.98,2709.81
09-05-2024,11353.03,18347.89,-6994.86,16351.32,10708.79,5642.53
08-05-2024,11984.54,18653.64,-6669.1,15333.26,9404.45,5928.81
07-05-2024,13726.76,17395.6,-3668.84,13202.8,10898.3,2304.5
06-05-2024,12598.23,14766.98,-2168.75,13791.15,13009.76,781.39
03-05-2024,17440.08,19832.06,-2391.98,13865.92,13175.4,690.52
02-05-2024,16786.8,17751.27,-964.47,15122.33,13769.89,1352.44
30-04-2024,20925.96,19854.03,1071.93,14438.64,13009.53,1429.11
29-04-2024,13689.75,13520.66,169.09,11746.82,11054.77,692.05
26-04-2024,13909.55,17318.43,-3408.88,14475.58,10118.75,4356.83
25-04-2024,19378.28,22201.61,-2823.33,19088.02,12920.46,6167.56
24-04-2024,10242.95,12754.69,-2511.74,12601.22,8791.32,3809.9
23-04-2024,14931.47,17976.01,-3044.54,12337.81,9418.87,2918.94
22-04-2024,13189.75,16104.98,-2915.23,11855.59,8312.66,3542.93
19-04-2024,16285.77,16156.38,129.39,9396.68,9449.18,-52.5
18-04-2024,18231.3,22491.63,-4260.33,14273.71,11988.19,2285.52
16-04-2024,10208.87,14676.96,-4468.09,13537.42,11497.04,2040.38
15-04-2024,10443.55,13711.55,-3268,13578.59,8815.66,4762.93
12-04-2024,15405.32,23432.32,-8027,17220.28,10878.75,6341.53
10-04-2024,13344.95,10566.78,2778.17,12342.51,12179.15,163.36
09-04-2024,13964.84,14558.04,-593.2,11130.49,8873.31,2257.18
08-04-2024,11504.78,12189.46,-684.68,12727.46,9256.92,3470.54
05-04-2024,12834.7,11175.43,1659.27,9462.33,12832.75,-3370.42
04-04-2024,13478.62,14615.09,-1136.47,12218.87,13111.98,-893.11
03-04-2024,13812.77,16026.33,-2213.56,13037.25,11934.84,1102.41
02-04-2024,13279.04,14901.73,-1622.69,12163.4,10210.68,1952.72
01-04-2024,8817.98,9340.28,-522.3,10193.47,8985.05,1208.42
28-03-2024,24808.78,24620.47,188.31,12428.24,9736.72,2691.52
27-03-2024,19558.69,17388.37,2170.32,26386.81,25189.2,1197.61
26-03-2024,22714.11,22703.98,10.13,14130.31,9105.95,5024.36
22-03-2024,17460.11,20769.87,-3309.76,12729.17,8964.3,3764.87
21-03-2024,14245.79,16072.76,-1826.97,12950.48,9741.61,3208.87
20-03-2024,10600.38,13199.57,-2599.19,11532.02,8864.5,2667.52
19-03-2024,16839.13,15417.65,1421.48,16886.74,9437.26,7449.48
18-03-2024,10143.76,12194.85,-2051.09,10135.01,7874.13,2260.88
15-03-2024,49504.55,48655.99,848.56,15254.61,15936.87,-682.26
14-03-2024,19814.37,21170.66,-1356.29,10729.35,10589.88,139.47
13-03-2024,33223.63,37818.69,-4595.06,20267.9,11174.18,9093.72
12-03-2024,15474.8,15401.68,73.12,10478.38,8120.2,2358.18
11-03-2024,23691.23,19478.47,4212.76,10787.26,7548.87,3238.39
07-03-2024,22997.94,15693.83,7304.11,11886.95,9285.14,2601.81
06-03-2024,19849.42,17082.67,2766.75,13638.83,11488.95,2149.88
05-03-2024,15215.15,14640.87,574.28,11888.65,10054.04,1834.61
04-03-2024,13489.19,14053.25,-564.06,11963.11,8420.24,3542.87
02-03-2024,49.52,131.39,-81.87,189.36,234.07,-44.71
01-03-2024,15712.62,15583.68,128.94,11987.98,8173.45,3814.53
28-02-2024,11058.91,12938.14,-1879.23,10124.97,8297.52,1827.45
