Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
24-Aug-16,"3,092.45","3,131.73",-39.28,"2,186.71","2,057.53",129.18
23-Aug-16,"3,587.31","3,587.50",-0.19,"1,729.99","2,181.86",-451.87
22-Aug-16,"3,310.95","3,611.45",-300.5,"1,778.26","1,725.76",52.5
19-Aug-16,"4,275.47","3,865.53",409.94,"2,088.81","1,982.62",106.19
18-Aug-16,"4,239.15","4,076.98",162.17,"2,261.31","2,275.73",-14.42
17-Aug-16,"4,033.12","4,033.07",0.05,"1,647.46","1,736.83",-89.37
16-Aug-16,"7,238.07","6,553.34",684.73,"1,714.96","1,823.94",-108.98
12-Aug-16,"5,754.75","4,551.04","1,203.71","1,908.44","2,300.91",-392.47
11-Aug-16,"4,981.46","4,373.11",608.35,"1,870.93","2,492.58",-621.65
10-Aug-16,"4,219.07","3,806.51",412.56,"1,811.91","2,559.18",-747.27
09-Aug-16,"4,819.72","4,675.57",144.15,"2,302.67","2,912.82",-610.15
08-Aug-16,"5,196.48","4,040.29","1,156.19","1,488.90","2,365.24",-876.34
05-Aug-16,"4,264.48","3,828.85",435.63,"2,163.06","1,546.74",616.32
04-Aug-16,"4,144.11","3,584.62",559.49,"1,682.14","2,209.25",-527.11
03-Aug-16,"4,698.80","4,120.63",578.17,"1,674.42","2,475.17",-800.75
02-Aug-16,"4,914.92","4,378.65",536.27,"2,234.26","2,617.49",-383.23
01-Aug-16,"5,928.19","5,201.97",726.22,"2,159.81","2,573.58",-413.77
29-Jul-16,"5,566.32","5,580.34",-14.02,"2,407.01","2,258.67",148.34
28-Jul-16,"8,470.01","6,702.95","1,767.06","2,770.94","3,845.41","-1,074.47"
27-Jul-16,"4,862.01","4,457.32",404.69,"2,554.71","2,707.18",-152.47
26-Jul-16,"5,488.54","4,817.65",670.89,"1,902.21","2,320.50",-418.29
25-Jul-16,"5,020.39","4,129.38",891.01,"1,823.28","1,891.17",-67.89
22-Jul-16,"3,865.06","3,427.28",437.78,"1,609.74","1,975.41",-365.67
21-Jul-16,"4,293.45","3,873.23",420.22,"1,865.28","2,237.68",-372.4
20-Jul-16,"4,669.70","4,454.49",215.21,"2,373.99","2,419.44",-45.45
19-Jul-16,"4,237.66","3,688.76",548.9,"1,737.67","2,115.10",-377.43
18-Jul-16,"4,126.50","3,527.41",599.09,"1,615.85","2,054.94",-439.09
15-Jul-16,"5,823.50","4,362.24","1,461.26","2,439.65","3,473.62","-1,033.97"
14-Jul-16,"3,861.29","2,991.45",869.84,"1,445.86","2,320.01",-874.15
13-Jul-16,"5,041.83","4,751.30",290.53,"1,912.86","2,567.59",-654.73
12-Jul-16,"4,115.94","3,903.02",212.92,"2,150.98","2,031.71",119.27
11-Jul-16,"4,865.31","3,809.51","1,055.80","1,519.64","2,130.21",-610.57
08-Jul-16,"4,059.13","3,728.51",330.62,"1,217.46","1,730.13",-512.67
07-Jul-16,"4,306.44","4,605.95",-299.51,"1,390.76","1,550.74",-159.98
05-Jul-16,"3,237.69","2,972.06",265.63,"1,214.93","1,662.41",-447.48
04-Jul-16,"2,992.70","2,810.42",182.28,"1,939.80","1,562.35",377.45
01-Jul-16,"3,086.32","3,273.83",-187.51,"2,747.46","1,840.41",907.05
29-Jun-16,"3,567.28","3,464.37",102.91,"1,565.76","1,585.95",-20.19
28-Jun-16,"3,665.15","3,855.58",-190.43,"1,572.52","1,815.23",-242.71
27-Jun-16,"3,420.30","3,566.41",-146.11,"1,434.81","1,581.88",-147.07
24-Jun-16,"3,865.55","4,494.69",-629.14,"2,968.90","2,853.96",114.94
23-Jun-16,"3,185.92","3,104.05",81.87,"1,656.05","1,452.49",203.56
22-Jun-16,"2,841.18","2,882.28",-41.1,"1,856.33","1,494.99",361.34
21-Jun-16,"3,714.27","3,229.61",484.66,"1,270.14","1,605.67",-335.53
20-Jun-16,"3,065.40","3,602.86",-537.46,"2,104.40","1,380.34",724.06
17-Jun-16,"4,650.86","4,618.90",31.96,"1,538.47","1,564.68",-26.21
16-Jun-16,"3,061.12","3,217.87",-156.75,"1,802.70","1,965.70",-163
15-Jun-16,"3,160.24","3,268.47",-108.23,"1,671.85","1,437.75",234.1
14-Jun-16,"2,886.71","3,000.07",-113.36,"1,303.96","1,336.23",-32.27
13-Jun-16,"3,847.70","3,635.46",212.24,"1,089.23","1,687.06",-597.83
10-Jun-16,"3,510.34","3,309.02",201.32,"1,399.39","1,565.01",-165.62
09-Jun-16,"3,552.00","3,317.80",234.2,"1,507.03","1,824.77",-317.74
08-Jun-16,"4,207.27","3,678.11",529.16,"1,263.74","1,521.50",-257.76
07-Jun-16,"6,011.96","5,512.23",499.73,"1,657.55","1,611.22",46.33
06-Jun-16,"5,016.42","4,988.12",28.3,"1,288.99","1,519.62",-230.63
03-Jun-16,"5,571.69","3,986.68","1,585.01","1,439.25","1,832.46",-393.21
02-Jun-16,"4,472.29","3,950.44",521.85,"1,160.57","1,737.43",-576.86
01-Jun-16,"3,986.33","3,726.43",259.9,"1,258.41","1,418.90",-160.49
30-May-16,"4,100.58","3,745.04",355.54,"1,318.83","1,529.92",-211.09
27-May-16,"4,618.93","4,139.04",479.89,"2,021.94","1,952.60",69.34
26-May-16,"6,476.35","5,895.06",581.29,"3,047.60","2,362.23",685.37
25-May-16,"3,741.39","3,246.31",495.08,"1,891.38","1,554.16",337.22
24-May-16,"3,561.80","4,377.33",-815.53,"2,130.20","1,140.25",989.95
23-May-16,"3,089.85","3,155.45",-65.6,"1,646.35","1,814.12",-167.77
20-May-16,"2,997.75","3,741.61",-743.86,"1,683.31","1,085.82",597.49
19-May-16,"4,205.43","4,970.01",-764.58,"2,725.61","1,241.96","1,483.65"
18-May-16,"3,809.48","4,060.18",-250.7,"1,619.99","1,380.08",239.91
16-May-16,"3,888.85","3,968.69",-79.84,"1,480.40","1,608.31",-127.91
13-May-16,"5,590.51","4,096.63","1,493.88","2,213.76","1,546.73",667.03
12-May-16,"3,483.87","3,459.73",24.14,"1,553.11","1,294.76",258.35
11-May-16,"4,131.71","4,493.90",-362.19,"2,166.17","1,436.58",729.59
10-May-16,"3,858.41","3,529.82",328.59,"1,647.05","1,578.85",68.2
09-May-16,"3,900.44","3,676.04",224.4,"1,787.25","1,436.65",350.6
06-May-16,"2,768.13","2,740.42",27.71,"1,154.35",974.55,179.8
05-May-16,"3,721.95","4,110.46",-388.51,"1,397.92","1,146.13",251.79
04-May-16,"3,705.95","3,772.40",-66.45,"1,664.67","1,743.47",-78.8
03-May-16,"3,598.55","4,353.83",-755.28,"1,945.94","1,461.30",484.64
02-May-16,"2,977.66","2,542.73",434.93,944.81,"1,054.37",-109.56
29-Apr-16,"4,399.71","4,605.01",-205.3,"1,649.24","1,621.11",28.13
28-Apr-16,"9,061.04","8,940.41",120.63,"2,245.92","2,662.13",-416.21
27-Apr-16,"4,412.63","4,001.63",411,"1,656.53","1,951.60",-295.07
26-Apr-16,"4,855.69","4,343.47",512.22,"1,488.41","1,467.20",21.21
25-Apr-16,"5,698.59","5,476.25",222.34,"1,075.18","1,823.13",-747.95
22-Apr-16,"3,701.43","3,510.36",191.07,"1,500.28","1,668.92",-168.64
21-Apr-16,"5,625.66","4,820.24",805.42,"2,168.30","2,102.58",65.72
20-Apr-16,"6,021.67","6,101.77",-80.1,"1,363.42","1,663.51",-300.09
18-Apr-16,"6,118.62","5,140.64",977.98,"1,628.89","1,942.11",-313.22
13-Apr-16,"4,923.76","4,279.49",644.27,"2,519.32","2,249.43",269.89
08-Apr-16,"2,609.08","2,428.81",180.27,"1,235.43","1,394.44",-159.01
06-Apr-16,"2,600.13","3,093.69",-493.56,"1,727.29","1,468.61",258.68
05-Apr-16,"3,262.01","4,062.80",-800.79,"1,737.74","1,681.89",55.85
