Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
15-07-2024,14857.07,12172.29,2684.78,15033.05,15364.05,-331
12-07-2024,19113.62,15092.02,4021.6,14490.17,16141.62,-1651.45
11-07-2024,15359.94,16496.95,-1137.01,15835.3,14158.83,1676.47
10-07-2024,17464.23,16880.27,583.96,15152.85,14070.45,1082.4
09-07-2024,14537.07,14222.61,314.46,13615.06,12198.6,1416.46
08-07-2024,13564.41,13503.43,60.98,14355.09,11488.3,2866.79
05-07-2024,13354.3,12112.97,1241.33,12695.07,14346.43,-1651.36
04-07-2024,13837.28,11261.43,2575.85,11303.32,13678.5,-2375.18
03-07-2024,18023.92,12540.29,5483.63,14121.15,15045.58,-924.43
02-07-2024,14551.15,16551.27,-2000.12,14203.4,13555.15,648.25
01-07-2024,13206.44,13632.47,-426.03,16210.07,12292.64,3917.43
28-06-2024,20605.78,20628.87,-23.09,20973.4,14315.09,6658.31
27-06-2024,30849.47,23190.7,7658.77,26887.35,30493.28,-3605.93
26-06-2024,19920.57,23456,-3535.43,18342.37,13238.7,5103.67
25-06-2024,17331.84,16155.93,1175.91,13519.21,13668.66,-149.45
24-06-2024,13720.3,14374.27,-653.97,11251.18,12071.65,-820.47
21-06-2024,44523.47,46313.66,-1790.19,18603.77,17366.56,1237.21
20-06-2024,16277.11,15861.81,415.3,12564.28,12890.09,-325.81
19-06-2024,24852.22,16943.86,7908.36,22548.24,15440.44,7107.8
18-06-2024,19101.85,16532.45,2569.4,13955.22,12399.49,1555.73
14-06-2024,15691.02,13515.16,2175.86,11876.45,11220.69,655.76
13-06-2024,19191.08,22224.08,-3033,12374.17,12928.05,-553.88
12-06-2024,15273.41,14846.78,426.63,13651.65,13417.9,233.75
11-06-2024,15527.24,15638.28,-111.04,14162.6,10969.31,3193.29
10-06-2024,13721.97,11149.59,2572.38,16933.99,14169.53,2764.46
07-06-2024,19943.97,15552.95,4391.02,15564.17,16853.92,-1289.75
06-06-2024,13969.51,20837.23,-6867.72,17030.3,13311.92,3718.38
05-06-2024,21012.72,26668.98,-5656.26,28615.23,24060.15,4555.08
04-06-2024,26776.17,39212.39,-12436.22,25963.84,29282.82,-3318.98
03-06-2024,23451.26,16600.5,6850.76,22651.16,20737.18,1913.98
30-05-2024,18108.69,21158.84,-3050.15,13748.5,10315.58,3432.92
29-05-2024,14162.04,20003.88,-5841.84,12954.15,7720.36,5233.79
28-05-2024,14739.43,14673.86,65.57,13169.66,9937.99,3231.67
27-05-2024,14013.38,14554.6,-541.22,12902.57,11979.97,922.6
24-05-2024,11564.19,12509.02,-944.83,13475.7,11155.38,2320.32
23-05-2024,19821.55,15150.6,4670.95,12439.4,12292.89,146.51
22-05-2024,16061.42,16747.46,-686.04,13486.33,12524.42,961.91
21-05-2024,17681.01,19555.55,-1874.54,16104.49,12555.52,3548.97
18-05-2024,50.71,143.66,-92.95,149.06,301.93,-152.87
17-05-2024,15820.61,14203.82,1616.79,11656.6,10100.35,1556.25
16-05-2024,16603.64,17380.13,-776.49,14907.72,12779.91,2127.81
15-05-2024,11412.04,14244.87,-2832.83,12915.36,9126.98,3788.38
14-05-2024,9988.34,14053.86,-4065.52,11455.11,7927.25,3527.86
13-05-2024,10309.45,14808.37,-4498.92,12655.75,9093,3562.75
10-05-2024,11603.33,13720.83,-2117.5,10677.79,7967.98,2709.81
09-05-2024,11353.03,18347.89,-6994.86,16351.32,10708.79,5642.53
08-05-2024,11984.54,18653.64,-6669.1,15333.26,9404.45,5928.81
07-05-2024,13726.76,17395.6,-3668.84,13202.8,10898.3,2304.5
06-05-2024,12598.23,14766.98,-2168.75,13791.15,13009.76,781.39
03-05-2024,17440.08,19832.06,-2391.98,13865.92,13175.4,690.52
02-05-2024,16786.8,17751.27,-964.47,15122.33,13769.89,1352.44
30-04-2024,20925.96,19854.03,1071.93,14438.64,13009.53,1429.11
29-04-2024,13689.75,13520.66,169.09,11746.82,11054.77,692.05
26-04-2024,13909.55,17318.43,-3408.88,14475.58,10118.75,4356.83
25-04-2024,19378.28,22201.61,-2823.33,19088.02,12920.46,6167.56
24-04-2024,10242.95,12754.69,-2511.74,12601.22,8791.32,3809.9
23-04-2024,14931.47,17976.01,-3044.54,12337.81,9418.87,2918.94
22-04-2024,13189.75,16104.98,-2915.23,11855.59,8312.66,3542.93
19-04-2024,16285.77,16156.38,129.39,9396.68,9449.18,-52.5
18-04-2024,18231.3,22491.63,-4260.33,14273.71,11988.19,2285.52
16-04-2024,10208.87,14676.96,-4468.09,13537.42,11497.04,2040.38
15-04-2024,10443.55,13711.55,-3268,13578.59,8815.66,4762.93
12-04-2024,15405.32,23432.32,-8027,17220.28,10878.75,6341.53
10-04-2024,13344.95,10566.78,2778.17,12342.51,12179.15,163.36
09-04-2024,13964.84,14558.04,-593.2,11130.49,8873.31,2257.18
08-04-2024,11504.78,12189.46,-684.68,12727.46,9256.92,3470.54
05-04-2024,12834.7,11175.43,1659.27,9462.33,12832.75,-3370.42
04-04-2024,13478.62,14615.09,-1136.47,12218.87,13111.98,-893.11
03-04-2024,13812.77,16026.33,-2213.56,13037.25,11934.84,1102.41
02-04-2024,13279.04,14901.73,-1622.69,12163.4,10210.68,1952.72
01-04-2024,8817.98,9340.28,-522.3,10193.47,8985.05,1208.42
28-03-2024,24808.78,24620.47,188.31,12428.24,9736.72,2691.52
27-03-2024,19558.69,17388.37,2170.32,26386.81,25189.2,1197.61
26-03-2024,22714.11,22703.98,10.13,14130.31,9105.95,5024.36
22-03-2024,17460.11,20769.87,-3309.76,12729.17,8964.3,3764.87
21-03-2024,14245.79,16072.76,-1826.97,12950.48,9741.61,3208.87
20-03-2024,10600.38,13199.57,-2599.19,11532.02,8864.5,2667.52
19-03-2024,16839.13,15417.65,1421.48,16886.74,9437.26,7449.48
18-03-2024,10143.76,12194.85,-2051.09,10135.01,7874.13,2260.88
15-03-2024,49504.55,48655.99,848.56,15254.61,15936.87,-682.26
14-03-2024,19814.37,21170.66,-1356.29,10729.35,10589.88,139.47
13-03-2024,33223.63,37818.69,-4595.06,20267.9,11174.18,9093.72
12-03-2024,15474.8,15401.68,73.12,10478.38,8120.2,2358.18
11-03-2024,23691.23,19478.47,4212.76,10787.26,7548.87,3238.39
07-03-2024,22997.94,15693.83,7304.11,11886.95,9285.14,2601.81
06-03-2024,19849.42,17082.67,2766.75,13638.83,11488.95,2149.88
05-03-2024,15215.15,14640.87,574.28,11888.65,10054.04,1834.61
04-03-2024,13489.19,14053.25,-564.06,11963.11,8420.24,3542.87
02-03-2024,49.52,131.39,-81.87,189.36,234.07,-44.71
01-03-2024,15712.62,15583.68,128.94,11987.98,8173.45,3814.53
